,Date,Confirmed,Deaths,Cured
0,2020-01-22,0,0,0
1,2020-01-23,0,0,0
2,2020-01-24,0,0,0
3,2020-01-25,0,0,0
4,2020-01-26,0,0,0
5,2020-01-27,0,0,0
6,2020-01-28,0,0,0
7,2020-01-29,0,0,0
8,2020-01-30,1,0,0
9,2020-01-31,1,0,0
10,2020-02-01,1,0,0
11,2020-02-02,2,0,0
12,2020-02-03,3,0,0
13,2020-02-04,3,0,0
14,2020-02-05,3,0,0
15,2020-02-06,3,0,0
16,2020-02-07,3,0,0
17,2020-02-08,3,0,0
18,2020-02-09,3,0,0
19,2020-02-10,3,0,0
20,2020-02-11,3,0,0
21,2020-02-12,3,0,0
22,2020-02-13,3,0,0
23,2020-02-14,3,0,0
24,2020-02-15,3,0,0
25,2020-02-16,3,0,3
26,2020-02-17,3,0,3
27,2020-02-18,3,0,3
28,2020-02-19,3,0,3
29,2020-02-20,3,0,3
30,2020-02-21,3,0,3
31,2020-02-22,3,0,3
32,2020-02-23,3,0,3
33,2020-02-24,3,0,3
34,2020-02-25,3,0,3
35,2020-02-26,3,0,3
36,2020-02-27,3,0,3
37,2020-02-28,3,0,3
38,2020-02-29,3,0,3
39,2020-03-01,3,0,3
40,2020-03-02,5,0,3
41,2020-03-03,5,0,3
42,2020-03-04,28,0,3
43,2020-03-05,30,0,3
44,2020-03-06,31,0,3
45,2020-03-07,34,0,3
46,2020-03-08,39,0,3
47,2020-03-09,43,0,3
48,2020-03-10,56,0,4
49,2020-03-11,62,1,4
50,2020-03-12,73,1,4
51,2020-03-13,82,2,4
52,2020-03-14,102,2,4
53,2020-03-15,113,2,13
54,2020-03-16,119,2,13
55,2020-03-17,142,3,14
56,2020-03-18,156,3,14
57,2020-03-19,194,4,15
58,2020-03-20,244,5,20
59,2020-03-21,330,4,23
60,2020-03-22,396,7,27
61,2020-03-23,499,10,27
62,2020-03-24,536,10,40
63,2020-03-25,657,12,43
64,2020-03-26,727,20,45
65,2020-03-27,887,20,73
66,2020-03-28,987,24,84
67,2020-03-29,1024,27,95
68,2020-03-30,1251,32,102
69,2020-03-31,1397,35,123
70,2020-04-01,1998,58,148
71,2020-04-02,2543,72,191
72,2020-04-03,2567,72,192
73,2020-04-04,3082,86,229
74,2020-04-05,3588,99,229
75,2020-04-06,4778,136,375
76,2020-04-07,5311,150,421
77,2020-04-08,5916,178,506
78,2020-04-09,6725,226,620
79,2020-04-10,7598,246,774
80,2020-04-11,8446,288,969
81,2020-04-12,9205,331,1080
82,2020-04-13,10453,358,1181
83,2020-04-14,11487,393,1359
84,2020-04-15,12322,405,1432
85,2020-04-16,13430,448,1768
86,2020-04-17,14352,486,2041
87,2020-04-18,15722,521,2463
88,2020-04-19,17615,559,2854
89,2020-04-20,18539,592,3273
90,2020-04-21,20080,645,3975
91,2020-04-22,21370,681,4370
92,2020-04-23,23077,721,5012
93,2020-04-24,24530,780,5498
94,2020-04-25,26283,825,5939
95,2020-04-26,27890,881,6523
96,2020-04-27,29451,939,7137
97,2020-04-28,31324,1008,7747
98,2020-04-29,33062,1079,8437
99,2020-04-30,34863,1154,9068
100,2020-05-01,37257,1223,10007
101,2020-05-02,39699,1323,10819
102,2020-05-03,42505,1391,11775
103,2020-05-04,46437,1566,12847
104,2020-05-05,49400,1693,14142
105,2020-05-06,52987,1785,15331
106,2020-05-07,56351,1889,16776
